Artist,Song Title,Genre,Lyrics,category
Kendrick-Lamar,United In Grief,Hip Hop,"I hope you find some peace of mind in this lifetime
Tell them, tell 'em, tell them the truth
I hope you find some paradise (tell them, tell 'em the truth)
Tell 'em, tell 'em, tell 'em, tell them your-

I've been goin' through somethin'
One thousand, eight hundred and 55 days
I've been goin' through somethin'
Be afraid

What is a bitch in a miniskirt?
A man in his feelings with bitter nerve
What is a woman that really hurt?
A demon, you're better off killin' her
What is a relative, making repetitive narratives on how you did it first?
That is a predator, hit reverse
All of your presidents evil thirst

What is a neighborhood rep'table?
That is a snitch on a pedestal
What is a house with a better view?
A family broken in variables
What is a rapper with jewelry?
A way that I show my maturity
What if I call on security?
That mean I'm calling on God for purity

I went and got me a therapist
I can debate on my theories and sharing it (whoa)
Consolidate all my comparisons
Humblin' up because time was imperative (whoa)
Started to feel like it's only one answer to everything, I don't know where it is (whoa)
Popping a bottle of Claritin (whoa)
Is it my head or my arrogance? (Whoa)",0
Kendrick-Lamar,N95,Hip Hop,"Hello, new world
All the boys and girls
I got some true stories to tell
You're back outside
But they still lied
Whoa-oh-oh-oh (yeah)

Take off the foo-foo, take off the clout chase, take off the Wi-Fi
Take off the money phone, take off the car loan, take off the flex and the white lies
Take off the weird ass jewelry, I'ma take ten steps, then I'm takin' off top five
Take off them fabricated streams and them microwave memes, it's a real world outside (take that shit off)

Take off your idols, take off the runway, I take off to Cairo (take that shit off)
Take off to Saint-Tropez, five-day stay, take a quarter mill', hell, if I know (take that shit off)
Take off the front flag, take off perception, take off the cop with the eye patch (take that shit off)
Take off the unloyal, take off the unsure, take off decisions I lack (take it off)

Take off the fake deep, take off the fake woke, take off the, ""I'm broke, I care"" (take it off)
Take off the gossip, take off the new logic that if I'm rich, I'm rare (take it off)
Take off the Chanel, take off the Dolce, take off the Birkin bag (take it off)
Take all that designer bullshit off, and what do you have?

Bitch, huh-huh
Ugh, you ugly as fuck (you outta pocket)
Huh, two ATMs, you steppin' or what? (You outta pocket)
Huh, who you think they talk about? Talk about us (shoot, shoot, shoot, you out of pocket)",0
Kendrick-Lamar,Worldwide Steppers,Hip Hop,"Kodak Black, Oklama
Eckhart Tolle
And this here is the big stepper

I'm a killer, he's a killer, she's a killer, bitch
We some killers, walkin' zombies, tryna scratch that itch
Germophobic, hetero and-

I am not for the faint of heart
My genetic build can build multi-universes, the man of God
Playin' ""Baby Shark"" with my daughter
Watchin' for sharks outside at the same time
Life as a protective father, I'd kill for her
My son Enoch is the part two
When I expire, my children'll make higher valleys
In this present moment, I saw that through

Ask Whitney about my lust addiction
Text messaging bitches got my thumbs hurt
Set precedent for a new sacrilegion
Writer's block for two years, nothin' moved me
Asked God to speak through me, that's what you hearin' now
The voice of yours truly
Teleport out my own body for comfort

I don't pass judgment, past life regressions keep me in question
Where did I come from? I don't think like I used to
No, I don't blink like I used to
Awkward stares at everybody, see the flesh of man
But still, this man compared to nobody
Yesterday, I prayed to the flowers and trees
Gratification to the powers that be
Synchronization with my energy chakras, the ghost of Dr. Sebi",0
Kendrick-Lamar,Die Hard,Hip Hop,"I pop the pain away, I slide the pain away
I pop the pain away, I slide the pain away
I picked you up when you fell and cut your knee
I told you not to cry and held you close to me

I hope I'm not too late to set my demons straight
I know I made you wait, but how much can you take?
I hope you see the God in me, I hope you can see
And if it's up, stay down for me, yeah

Shimmy, shimmy, cocoa pop
Serafina, flame in ice
Where I'd be without your love
Rest your wings and trust, I feel you
Deep (I know you feel), deep (know you feel)
Deep (I know you feel), deep (too deep)
Deep (I know you feel), deep (know you feel)
Deep (I know you feel), deep

Do you love me? (Okay) Do you trust me? (Okay)
Can I trust you? (Okay) Don't judge me (okay)
I'ma die hard, it gets ugly (okay)
Too passionate, it gets ugly (okay)
Mmm, ah-ah",0
Kendrick-Lamar,Father Time,Hip Hop,"You really need some therapy
Real nigga need no therapy, fuck you talking about?
Nah, nah, you sound stupid as fuck
Shit, everybody stupid
Yeah, well, you need to talk to someone
Reach out to Eckhart

I come from a generation of home invasions
And I got daddy issues, that's on me
Everything them four walls had taught me, made habits bury deep
That man knew a lot, but not enough to keep me past them streets
My life is a plot, twisted from directions that I can't see

Daddy issues ball across my head, told me, ""Fuck a foul""
I'm teary-eyed, wanna throw my hands, I won't think out loud
A foolish pride, if I lose again, won't go in the house
I stayed outside, laughing with my friends, they don't know my life

Daddy issues made me learn losses, I don't take those well
Momma said, ""That boy is exhausted"", he said, ""Go fuck yourself
If he give up now, that's gon' cost him, life's a bitch
You could be a bitch or step out the margin"", I got up quick

I'm chargin' baskets and falling backwards, tryna keep balance
Oh, this the part where mental stability meets talent
Oh, this the part, he breaks my humility just for practice",0
Kendrick-Lamar,Rich (Interlude),Hip Hop,"I learned in trappin', in the business
Smart people makin' horrible decisions, you know?
Rich nigga, gettin' my dick sucked after the show
I ain't gonna lie, we were poor
A bunch of lost souls in survival mode
It wasn't no way for us unless we find our own

Runnin' in stores, kickin' in doors, nigga, give me my glory
Nigga play with me, he ain't gon' live to tell the story
You know, this the type of shit we glorify
Everybody ""gang-gang""
Most of the people that you grew up with are now in chain gang
In the box, gettin' pink

Niggas shittin' where you sleep
Nigga shittin' where you eat
Who'da ever knew that I'd become a fuckin' Kodak? Yeah",0
Kendrick-Lamar,Rich Spirit,Hip Hop,"Takin' my baby to school, then I pray for her
'Cause you bitches ain't never been cool, writin' testament
Paintin' pictures, put me in the Louvre, that's a definite
Universal shift, I'm in a groove and celebrity do not mean integrity, you fool
I'm a good man, shakin' hand, firm grip rule
72 ways, lost ten, ballin' with the flu
More than two M's for a show, but add another two
Hmm, lil' Man-Man, the big mans, the GT diamond flippin' the kickstand (ooh)

Rich nigga, broke phone (ah)
Tryna keep the balance, I'm stayin' strong (ooh)
Stop playin' with me 'fore I turn you to a song (yeah)
Stop playin' with me 'fore I turn you to a song (ooh)
Ayy, bitch, I'm attractive (ah)
Can't fuck with you no more, I'm fastin', ugh (ooh)
Bitch, I'm attractive (ah, ah, ah, ah)
Can't fuck with you no more, I'm fastin', ugh

The morality can wait, feedback on low latency
I'm glitchin' from the face as my thoughts grow sacredly
I'm runnin' out of space, ask Whitney she okay
Never mind a hundred K, why you lyin' on Benjamin?
He turnin' in his grave
I'd be lyin' if I said I wouldn't give this shit away",0
Kendrick-Lamar,We Cry Together,Hip Hop,"Oh, oh, oh
Oh, oh, oh
Hold on to each other
Hold on to each other
This is what the world sounds like (nah, f- you)

Oh, wow, okay
You got me f- up
F- you, f- you

I swear, I'm tired of these emotional, ungrateful
(Shut the f- up)
Unstable, confrontational dumb-
You wanna bring a- down, even when I'm tryna do right
We could go our separate ways right now
You could move on with your life
(I swear to God) you love a pity party, I won't show up
Always act like your s- don't stink, motherf-, grow up (man)
Forever late for sh-, won't buy sh-, sit around and deny sh- (man)
F- around on a side-, then come f- up my -

What? F- up yo' -? You must be bleedin' and some more -
I don't know -, f- yo' feelings (you on some-)
See, I don't know why you likе playin' mind games with me (mind games, man)
I ain't slow nor ditsy, I know whеn you bein' distant
I know when you fake busy (come on, brah)
Get out yo' feelings and miss me with that reverse psychology
Man, b- you trippin', who got you that Rollie chain?
And who put that car in my name?
What you think? I'ma kiss yo' -?
Nah n-, you f- lame

You know what? F- (f- you)
Nah, f- you (nah, f- you)
F- you (nah, f- you)
Nah, f- you (f- you)
F- you (f- you)
F- you (nah)

Wastin' my time and energy tryna be good to you
Lost friends, family, gained more enemies 'cause of you
Starin' at me in Zara, h- scratchin' my cars up
Shoulda followed my mind in '09 and just moved to Georgia
Oh, what, that's my fault now?
You power trippin' or guilt trippin'? I held your a- down (okay)
You just kept me down, that's a big difference",0
Kendrick-Lamar,Purple Hearts,Hip Hop,"Mmm, tippy-toeing and I'm mud-walkin', hmm
Rollin' sevens, I ain't ready for no coffin
I know y'all love it when the drugs talkin', but
Shut the f- up when you hear love talkin'
Shut the f- up when you hear love talkin'
If God be the source then I am the plug talkin'
Yeah, baby, yeah, baby
Yeah, baby, yeah, baby

This my undisputed truth, uh-huh
My life is like forbidden fruit, my b- know better than I do
A woman's worth, I barely went to church
I'd rather fast with you than f- it up
F- with skirts 'cause I'm rational
A n- still gon' be a-, emoji heart, my family pictures
Two-steppin' away from rappers, I don't trust their true intentions
I'm not in the music business, I been in the human business
Whole life been social distant, h- like, ""When you not trippin'?""

I duck the party, who said they saw me?
Crown on Bob Marley, wrist on Yo Gotti
They gon' judge your life for a couple likes on the double tap
Them h- is sorry, they all get bodied
I bless it that you have an open heart, I bless that you forgive
I bless it that you can learn from a loss, I bless it that you heal
I bless one day that you attract somebody with your mind exact
A patient life, flaws, bless 'em twice, and they'll bless you back

Tippy-toeing and I'm mud-walkin', hmm
Rollin' sevens, I ain't ready for no coffin
I know y'all love it when the drugs talkin', but",0
Kendrick-Lamar,Count Me Out,Hip Hop,"We may not know which way to go on this dark road

(Mr. Duckworth)
All of these hoes make it difficult

Session ten, breakthrough

One of these lives, I'ma make things right
With the wrongs I've done, that's one of you now
With the Father, Son, 'til then, I fight
Rain on me, put the blame on me
Got guilt, got hurt, got shame on me
Got six magazines that's aimed at me
Done every magazine, what's fame to me?

It's a game to me, where the bedroom at? (And I'm tripping and falling)
Sleep, I ain't never had affairs with that
What's fed when the hearts and the words don't reach?
What's fair when the money don't take things back?
It's rare when somebody take your dreams back

I care too much, wanna share too much (and I'm tripping and falling)
In my head too much, I shut down too
I ain't there too much, I'm a complex soul
They layered me up, then broke me down
And morality's dust, I lack in trust

This time around, I trust myself (and I'm tripping and falling)
Please everybody else but myself
All else fails, I was myself
Outdone fear, outdone myself
This year, you better one yourself

Masks on the babies, mask on an opp (and I'm tripping and falling)
Wear masks in the neighborhood stores you shop
But a mask won't hide who you are inside
Look around, the reality's carved in the lies
Wipe my ego, dodge my pride

Look myself in the mirror (and I'm tripping and falling)
Amityville, I ain't seen nothing scarier (on and on and on and on)",0
