Artist,Song Title,Genre,Lyrics,category
Kendrick-Lamar,All The Stars,Soundtrack,"Love, let's talk about love
Is it anything and everything you for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer
This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Tell me what you gon' do to me
Confrontation ain't nothin' new to me
You can bring a bullet, bring a sword, bring a morgue
But you can't bring the truth to me
Fuck you and all your expectations
I don't even want your congratulations
I recognize your false confidence and
Calculated promises all in your conversation
I hate people that feel entitled
Look at me crazy 'cause I ain't invite you
Oh, you important?",1
Kendrick-Lamar,Pray For Me,Soundtrack,"Ooh, ooh, ooh, ooh

I'm always ready for a war again
Go down that road again
It's all the same
I'm always ready to take a life again
You know I'll ride again
It's all the same (ooh, ooh, ooh)
Tell me who's gon' save me from myself
When this life is all I know
Tell me who's gon' save me from this hell
Without you, I'm all alone

Who gon' pray for me?
Take my pain for me?
Save my soul for me?
'Cause I'm alone, you see
If I'm gon' die for you
If I'm gon' kill for you
Then I'll spill this blood for you, hey",1
J-Cole,Got Me,Electronic,"You've got me so high
You've got me so high",1
J-Cole,Got Me,Electronic,"You've got me so high
You've got me so high",1
Eminem,Fall,College Rock,"You know, everybody's been tellin' me
What they think about me for the last few months
(It's too loud)
Maybe it's time I tell 'em what I think about them
Can't hear it coming down the hallway stairs from the parking lot
It's too loud

Freeze my crown all up in it
Slow fire
Don't fall on my face
Don't fall on my faith, oh
Don't fall on my fate
Don't fall on my faith, oh
Don't fall on my fate
Don't fall on my

Gotta concentrate against the clock I race
Got no time to waste, I'm already late, I got a marathoner's pace
Went from addict to a workaholic, word to Dr. Dre in that first marijuana tape
Guess I got a chronic case
And I ain't just blowin' smoke, 'less it's in your mama's face
I know this time Paul and Dre, they won't tell me what not to say
And though me and my party days have all pretty much parted ways
You'd swear to God I've forgot I'm the guy that made ""Not Afraid""
One last time for Charlemagne
If my response is late, it's just how long it takes
To hit my fuckin' radar, I'm so far away

These rappers are like Hunger Games
One minute, they're mocking Jay
Next minute, they get they style from Migos, then they copy Drake
Maybe I just don't know when to turn around and walk away
But all the hate I call it ""Walk on Water"" gate
I've had as much as I can tolerate
I'm sick and tired of waitin', I done lost my patience
I can take all of you motherfuckers on at once
You wanted, Shady? You got it!

Don't fall on my face (Yuh)
Don't fall on my faith, oh
Don't fall on my fate (Line 'em up!)",1
Eminem,Fall,College Rock,"You know, everybody's been tellin' me
What they think about me for the last few months
(It's too loud)
Maybe it's time I tell 'em what I think about them
Can't hear it coming down the hallway stairs from the parking lot
It's too loud

Freeze my crown all up in it
Slow fire
Don't fall on my face
Don't fall on my faith, oh
Don't fall on my fate
Don't fall on my faith, oh
Don't fall on my fate
Don't fall on my

Gotta concentrate against the clock I race
Got no time to waste, I'm already late, I got a marathoner's pace
Went from addict to a workaholic, word to Dr. Dre in that first marijuana tape
Guess I got a chronic case
And I ain't just blowin' smoke, 'less it's in your mama's face
I know this time Paul and Dre, they won't tell me what not to say
And though me and my party days have all pretty much parted ways
You'd swear to God I've forgot I'm the guy that made ""Not Afraid""
One last time for Charlemagne
If my response is late, it's just how long it takes
To hit my fuckin' radar, I'm so far away

These rappers are like Hunger Games
One minute, they're mocking Jay
Next minute, they get they style from Migos, then they copy Drake
Maybe I just don't know when to turn around and walk away
But all the hate I call it ""Walk on Water"" gate
I've had as much as I can tolerate
I'm sick and tired of waitin', I done lost my patience
I can take all of you motherfuckers on at once
You wanted, Shady? You got it!

Don't fall on my face (Yuh)
Don't fall on my faith, oh
Don't fall on my fate (Line 'em up!)",1
Onerepublic,I Ain't Worried,Soundtrack,"I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

But I ain't worried 'bout it right now (right now)
Keeping dreams alive (hey!), 1999, heroes
I ain't worried 'bout it right now (right now)
Swimmin' in the floods (hey!), dancing on the clouds below
I ain't worried 'bout it

I ain't worried 'bout it
Hey!

I don't know what you've been told
But time is running out, so spend it like it's gold
I'm living like I'm nine-zeros",1
Onerepublic,Horizon (from One Night In Malibu),Pop,"Depuis toujours, le sens, nous l'avons cherché
Nous avons construit, nous avons détruit, nous avons conquit
Nous avons cédé à la violence de l'homme nourrit par la peur
Mais, c'est dans notre nature d'être poussés par l'espoir
Durant les nuits où défilent nos frayeurs
Nous prions pour qu'elles nous amènent plus loin, plus vite
Vers une imperceptible utopie",1
Onerepublic,Distance (from One Night In Malibu),Pop,"I don't wanna only call your name when I'm brokenhearted, yeah
I already know how much I've got to lose, oh yeah
I don't wanna have to crash and burn to be where we started, yeah
I don't wanna ever need a map to you, oh

I've run so far, been so high
I'll chase the sun 'til our time

But I ain't gonna keep my distance from you
Yeah, I already know what distance can do
If I let you get away, bury me today",1
Onerepublic,Take Care Of You (from One Night In Malibu),Pop,"Some days you're alone, yeah
Some days this don't feel like home, umm
It's not just how we planned it, hey, yeah
I'm so happy they're throwing stones, oh

And I know that you
Need someone to make it through
Yeah, yeah, yeah, you know that, ooh
Days like this I needed too, oh

So I'll take care of you (take care for you)
And honey, you'll take care of me too, (take care for you) yeah
It's magic when we do (magic you do)
So if you ever feel like falling through (take care)
Yeah, I'll take care of you

Woo, you'll take care of me too, oh, yeah
I'll take care of you",1
Onerepublic,Good Life (from One Night In Malibu),Pop,"Woke up in London yesterday
Found myself in the city near Piccadilly
Don't really know how I got here
I got some pictures on my phone
New names and numbers that I don't know
Address to places like Abbey Road
Day turns to night, night turns to whatever we want
We're young enough to say

Oh, this has gotta be the good life
This has gotta be the good life
This could really be a good life, good life
Say oh, got this feeling that you can't fight
Like this city is on fire tonight
This is could really be a good life
A good, good life

Listen, to my friends in New York, I say ""Hello""
My friends in L.A., they don't know
Where I've been for the past few years or so
Paris to China to Colorado
Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories, but please tell me-e-e-e
What there's to complain about",1
Onerepublic,Rescue Me (from One Night In Malibu),Pop,"Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Uh
Would you rescue me?

Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Uh
Would you rescue me?

We don't talk much, not anymore
Broken bottles and slammin' doors
But we still care about each other
Say we care about each other
I know life took us far away
But I still dream 'bout the good old days
When we took care of each other
We were livin' for each other

But I start to wonder, wonder
If I'm slippin' under, under, oh

Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Uh",1
Onerepublic,Secrets (from One Night In Malibu),Pop,"I need another story
Something to get off my chest
My life gets kinda boring
Something that I can confess
'Til all my sleeves are stained red
From all the truth that I've said
Come by it honestly, I swear
Thought you saw me wink, no
I've been on the brink, so

Tell me what you want to hear
Something that will light those ears
Sick of all the insincere
I'm gonna give all my secrets away
This time
Don't need another perfect line
Don't care if critics ever jump in line
I'm gonna give all my secrets away

My God, amazing how we got this far
It's like we're chasing all those stars
Driving shiny big black cars, yeah
Every day I see the news",1
Onerepublic,Wanted (from One Night In Malibu),Pop,"She said, ""Every time I close my eyes I feel like I could disappear (disappear)
I could overflow an ocean with the cavalcade of all my tears (all my tears)
And I know I sound dramatic, but that's just how it feels"" (how it feels)
She said, ""I'm holdin' to the notion that I'll find something real""

Yeah, I just want to be wanted, oh
I could use a little love sometimes
I just need to be needed, oh
Like to know I'm crossin' someone's mind
I just want to be someone that somebody needs
I just want to be more than a drop in the sea",1
Onerepublic,Lose Somebody (from One Night In Malibu),Pop,"It's a classic me mistake
Someone gives me love
And I throw it all away
Tell me, have I gone insane
Talkin' to myself
But I don't know what to say

'Cause you let go
And now I'm holdin' on
I guess you don't know what you got
Until it's gone

Sometimes, you gotta lose somebody
Just to find out you really love someone, oh-whoa
And I do, and I do, and I do, yeah
Sometimes, you gotta lose somebody
Just to find out you really love someone, oh-whoa
Yeah, sometimes, you gotta lose somebody",1
Onerepublic,Better Days (from One Night In Malibu),Pop,"Oh, I know that there'll be better days
Ho, that sunshine 'bout to come my way
May we never ever shed another tear for today
'Cause, oh, I know that there'll be better days

Waking up in California
But these clouds, they won't go away
Every day is like another storm, yeah
I'm just trying not to go insane
And the city's shining so bright
So many dark nights, so many dark days
But any time I feel the paranoia
I close my eyes and I say",1
Onerepublic,Run (From One Night In Malibu),Pop,"When I was a young boy living in the city
All I did was run, run, run, run, run
Staring at the lights, they look so pretty
Momma said ""Son, son, son, son, son
You're gonna grow up, you're gonna get old
All that glitters don't turn to gold
But until then just have your fun
Boy, run, run, run, run, run""
Yeah, run, run, run
Run, run, run

When I was a young kid living in the city
All I did was pay, pay, pay, pay, pay
And every single dime that good Lord gave me
I could make it last three, four, five days
Living it up but living down low
Chasing that luck before I get old
And looking back, oh, we had some fun
Boy, run, run, run, run, run",1
Onerepublic,I Lived (from One Night In Malibu),Pop,"Hope when you take that jump
You don't feel the fall
I hope when the water rises
You built a wall
I hope when the crowd screams out
They're screaming your name
I hope if everybody runs
You choose to stay

I hope that you fall in love
And it hurts so bad
The only way you can know
You gave it all you had
And I hope that you don't suffer
But take the pain
I hope when the moment comes
You'll say

I, I, I, I did it all
I, I, I, I did it all
I owned every second that this world could give
Saw so many places, the things that I did",1
